order_id,order_date,customer_email,product,category,quantity,unit_price,sales_channel,city,revenue
64,2025-01-01,unknown,Webcam,Unknown,2.0,2499.0,Mobile,Pune,4998.0
34,2025-01-02,customer34@email.com,Keyboard,Furniture,1.0,4999.0,Online,Delhi,4999.0
126,2025-01-02,customer126@email.com,Keyboard,Unknown,1.0,2499.0,Store,Pune,2499.0
48,2025-01-05,unknown,Webcam,Unknown,1.0,999.0,Mobile,Delhi,999.0
129,2025-01-05,customer129@email.com,Desk Chair,Electronics,3.0,2499.0,Store,Bengaluru,7497.0
122,2025-01-06,customer122@email.com,Headphones,Accessories,3.0,2499.0,Online,Pune,7497.0
25,2025-01-07,customer25@email.com,Headphones,Furniture,1.0,12999.0,Store,Mumbai,12999.0
30,2025-01-08,customer30@email.com,Laptop,Furniture,2.0,12999.0,Online,Unknown,25998.0
22,2025-01-10,customer22@email.com,Mouse,Electronics,1.0,12999.0,Mobile,Mumbai,12999.0
94,2025-01-10,unknown,Keyboard,Electronics,1.0,999.0,Online,Delhi,999.0
140,2025-01-10,customer140@email.com,Laptop,Accessories,2.0,999.0,Store,Unknown,1998.0
7,2025-01-11,customer7@email.com,Mouse,Furniture,1.0,2499.0,Online,Bengaluru,2499.0
31,2025-01-11,customer31@email.com,Monitor,Electronics,1.0,2499.0,Online,Unknown,2499.0
91,2025-01-11,customer91@email.com,Webcam,Electronics,1.0,1499.0,Mobile,Unknown,1499.0
81,2025-01-12,unknown,Mouse,Electronics,1.0,2499.0,Mobile,Unknown,2499.0
27,2025-01-13,customer27@email.com,Monitor,Furniture,1.0,999.0,Store,Delhi,999.0
132,2025-01-13,unknown,Headphones,Electronics,2.0,12999.0,Online,Pune,25998.0
144,2025-01-13,unknown,Laptop,Unknown,1.0,12999.0,Online,Pune,12999.0
76,2025-01-14,unknown,Laptop,Accessories,2.0,4999.0,Mobile,Unknown,9998.0
146,2025-01-14,customer146@email.com,Headphones,Accessories,1.0,7999.0,Unknown,Unknown,7999.0
21,2025-01-16,customer21@email.com,Monitor,Unknown,1.0,1499.0,Store,Delhi,1499.0
145,2025-01-16,unknown,Keyboard,Unknown,2.0,4999.0,Online,Bengaluru,9998.0
19,2025-01-17,customer19@email.com,Webcam,Furniture,3.0,12999.0,Mobile,Pune,38997.0
71,2025-01-17,customer71@email.com,Keyboard,Accessories,1.0,4999.0,Store,Unknown,4999.0
62,2025-01-18,unknown,Headphones,Electronics,1.0,1499.0,Store,Bengaluru,1499.0
56,2025-01-19,customer56@email.com,Headphones,Electronics,1.0,999.0,Store,Pune,999.0
125,2025-01-19,unknown,Mouse,Electronics,1.0,2499.0,Unknown,Delhi,2499.0
